continent,location,date,population
Asia,Afghanistan,02/24/2020,38928341
Asia,Afghanistan,02/25/2020,38928341
Asia,Afghanistan,02/26/2020,38928341
Asia,Afghanistan,02/27/2020,38928341
Asia,Afghanistan,02/28/2020,38928341
Asia,Afghanistan,02/29/2020,38928341
Asia,Afghanistan,03/01/2020,38928341
Asia,Afghanistan,03/02/2020,38928341
Asia,Afghanistan,03/03/2020,38928341
Asia,Afghanistan,03/04/2020,38928341
Asia,Afghanistan,03/05/2020,38928341
Asia,Afghanistan,03/06/2020,38928341
Asia,Afghanistan,03/07/2020,38928341
Asia,Afghanistan,03/08/2020,38928341
Asia,Afghanistan,03/09/2020,38928341
Asia,Afghanistan,03/10/2020,38928341
Asia,Afghanistan,03/11/2020,38928341
Asia,Afghanistan,03/12/2020,38928341
Asia,Afghanistan,03/13/2020,38928341
Asia,Afghanistan,03/14/2020,38928341
Asia,Afghanistan,03/15/2020,38928341
Asia,Afghanistan,03/16/2020,38928341
Asia,Afghanistan,03/17/2020,38928341
Asia,Afghanistan,03/18/2020,38928341
Asia,Afghanistan,03/19/2020,38928341
Asia,Afghanistan,03/20/2020,38928341
Asia,Afghanistan,03/21/2020,38928341
Asia,Afghanistan,03/22/2020,38928341
Asia,Afghanistan,03/23/2020,38928341
Asia,Afghanistan,03/24/2020,38928341
Asia,Afghanistan,03/25/2020,38928341
Asia,Afghanistan,03/26/2020,38928341
Asia,Afghanistan,03/27/2020,38928341
Asia,Afghanistan,03/28/2020,38928341
Asia,Afghanistan,03/29/2020,38928341
Asia,Afghanistan,03/30/2020,38928341
Asia,Afghanistan,03/31/2020,38928341
Asia,Afghanistan,04/01/2020,38928341
Asia,Afghanistan,04/02/2020,38928341
Asia,Afghanistan,04/03/2020,38928341
Asia,Afghanistan,04/04/2020,38928341
Asia,Afghanistan,04/05/2020,38928341
Asia,Afghanistan,04/06/2020,38928341
Asia,Afghanistan,04/07/2020,38928341
Asia,Afghanistan,04/08/2020,38928341
Asia,Afghanistan,04/09/2020,38928341
Asia,Afghanistan,04/10/2020,38928341
Asia,Afghanistan,04/11/2020,38928341
Asia,Afghanistan,04/12/2020,38928341
Asia,Afghanistan,04/13/2020,38928341
Asia,Afghanistan,04/14/2020,38928341
Asia,Afghanistan,04/15/2020,38928341
Asia,Afghanistan,04/16/2020,38928341
Asia,Afghanistan,04/17/2020,38928341
Asia,Afghanistan,04/18/2020,38928341
Asia,Afghanistan,04/19/2020,38928341
Asia,Afghanistan,04/20/2020,38928341
Asia,Afghanistan,04/21/2020,38928341
Asia,Afghanistan,04/22/2020,38928341
Asia,Afghanistan,04/23/2020,38928341
Asia,Afghanistan,04/24/2020,38928341
Asia,Afghanistan,04/25/2020,38928341
Asia,Afghanistan,04/26/2020,38928341
Asia,Afghanistan,04/27/2020,38928341
Asia,Afghanistan,04/28/2020,38928341
Asia,Afghanistan,04/29/2020,38928341
Asia,Afghanistan,04/30/2020,38928341
Asia,Afghanistan,05/01/2020,38928341
Asia,Afghanistan,05/02/2020,38928341
Asia,Afghanistan,05/03/2020,38928341
Asia,Afghanistan,05/04/2020,38928341
Asia,Afghanistan,05/05/2020,38928341
Asia,Afghanistan,05/06/2020,38928341
Asia,Afghanistan,05/07/2020,38928341
Asia,Afghanistan,05/08/2020,38928341
Asia,Afghanistan,05/09/2020,38928341
Asia,Afghanistan,05/10/2020,38928341
Asia,Afghanistan,05/11/2020,38928341
Asia,Afghanistan,05/12/2020,38928341
Asia,Afghanistan,05/13/2020,38928341
Asia,Afghanistan,05/14/2020,38928341
Asia,Afghanistan,05/15/2020,38928341
Asia,Afghanistan,05/16/2020,38928341
Asia,Afghanistan,05/17/2020,38928341
Asia,Afghanistan,05/18/2020,38928341
Asia,Afghanistan,05/19/2020,38928341
Asia,Afghanistan,05/20/2020,38928341
Asia,Afghanistan,05/21/2020,38928341
Asia,Afghanistan,05/22/2020,38928341
Asia,Afghanistan,05/23/2020,38928341
Asia,Afghanistan,05/24/2020,38928341
Asia,Afghanistan,05/25/2020,38928341
Asia,Afghanistan,05/26/2020,38928341
Asia,Afghanistan,05/27/2020,38928341
Asia,Afghanistan,05/28/2020,38928341
Asia,Afghanistan,05/29/2020,38928341
Asia,Afghanistan,05/30/2020,38928341
Asia,Afghanistan,05/31/2020,38928341
Asia,Afghanistan,06/01/2020,38928341
Asia,Afghanistan,06/02/2020,38928341
Asia,Afghanistan,06/03/2020,38928341
Asia,Afghanistan,06/04/2020,38928341
Asia,Afghanistan,06/05/2020,38928341
Asia,Afghanistan,06/06/2020,38928341
Asia,Afghanistan,06/07/2020,38928341
Asia,Afghanistan,06/08/2020,38928341
Asia,Afghanistan,06/09/2020,38928341
Asia,Afghanistan,06/10/2020,38928341
Asia,Afghanistan,06/11/2020,38928341
Asia,Afghanistan,06/12/2020,38928341
Asia,Afghanistan,06/13/2020,38928341
Asia,Afghanistan,06/14/2020,38928341
Asia,Afghanistan,06/15/2020,38928341
Asia,Afghanistan,06/16/2020,38928341
Asia,Afghanistan,06/17/2020,38928341
Asia,Afghanistan,06/18/2020,38928341
Asia,Afghanistan,06/19/2020,38928341
Asia,Afghanistan,06/20/2020,38928341
Asia,Afghanistan,06/21/2020,38928341
Asia,Afghanistan,06/22/2020,38928341
Asia,Afghanistan,06/23/2020,38928341
Asia,Afghanistan,06/24/2020,38928341
Asia,Afghanistan,06/25/2020,38928341
Asia,Afghanistan,06/26/2020,38928341
Asia,Afghanistan,06/27/2020,38928341
Asia,Afghanistan,06/28/2020,38928341
Asia,Afghanistan,06/29/2020,38928341
Asia,Afghanistan,06/30/2020,38928341
Asia,Afghanistan,07/01/2020,38928341
Asia,Afghanistan,07/02/2020,38928341
Asia,Afghanistan,07/03/2020,38928341
Asia,Afghanistan,07/04/2020,38928341
Asia,Afghanistan,07/05/2020,38928341
Asia,Afghanistan,07/06/2020,38928341
Asia,Afghanistan,07/07/2020,38928341
Asia,Afghanistan,07/08/2020,38928341
Asia,Afghanistan,07/09/2020,38928341
Asia,Afghanistan,07/10/2020,38928341
Asia,Afghanistan,07/11/2020,38928341
Asia,Afghanistan,07/12/2020,38928341
Asia,Afghanistan,07/13/2020,38928341
Asia,Afghanistan,07/14/2020,38928341
Asia,Afghanistan,07/15/2020,38928341
Asia,Afghanistan,07/16/2020,38928341
Asia,Afghanistan,07/17/2020,38928341
Asia,Afghanistan,07/18/2020,38928341
Asia,Afghanistan,07/19/2020,38928341
Asia,Afghanistan,07/20/2020,38928341
Asia,Afghanistan,07/21/2020,38928341
Asia,Afghanistan,07/22/2020,38928341
Asia,Afghanistan,07/23/2020,38928341
Asia,Afghanistan,07/24/2020,38928341
Asia,Afghanistan,07/25/2020,38928341
Asia,Afghanistan,07/26/2020,38928341
Asia,Afghanistan,07/27/2020,38928341
Asia,Afghanistan,07/28/2020,38928341
Asia,Afghanistan,07/29/2020,38928341
Asia,Afghanistan,07/30/2020,38928341
Asia,Afghanistan,07/31/2020,38928341
Asia,Afghanistan,08/01/2020,38928341
Asia,Afghanistan,08/02/2020,38928341
Asia,Afghanistan,08/03/2020,38928341
Asia,Afghanistan,08/04/2020,38928341
Asia,Afghanistan,08/05/2020,38928341
Asia,Afghanistan,08/06/2020,38928341
Asia,Afghanistan,08/07/2020,38928341
Asia,Afghanistan,08/08/2020,38928341
Asia,Afghanistan,08/09/2020,38928341
Asia,Afghanistan,08/10/2020,38928341
Asia,Afghanistan,08/11/2020,38928341
Asia,Afghanistan,08/12/2020,38928341
Asia,Afghanistan,08/13/2020,38928341
Asia,Afghanistan,08/14/2020,38928341
Asia,Afghanistan,08/15/2020,38928341
Asia,Afghanistan,08/16/2020,38928341
Asia,Afghanistan,08/17/2020,38928341
Asia,Afghanistan,08/18/2020,38928341
Asia,Afghanistan,08/19/2020,38928341
Asia,Afghanistan,08/20/2020,38928341
Asia,Afghanistan,08/21/2020,38928341
Asia,Afghanistan,08/22/2020,38928341
Asia,Afghanistan,08/23/2020,38928341
Asia,Afghanistan,08/24/2020,38928341
Asia,Afghanistan,08/25/2020,38928341
Asia,Afghanistan,08/26/2020,38928341
Asia,Afghanistan,08/27/2020,38928341
Asia,Afghanistan,08/28/2020,38928341
Asia,Afghanistan,08/29/2020,38928341
Asia,Afghanistan,08/30/2020,38928341
Asia,Afghanistan,08/31/2020,38928341
Asia,Afghanistan,09/01/2020,38928341
Asia,Afghanistan,09/02/2020,38928341
Asia,Afghanistan,09/03/2020,38928341
Asia,Afghanistan,09/04/2020,38928341
Asia,Afghanistan,09/05/2020,38928341
Asia,Afghanistan,09/06/2020,38928341
Asia,Afghanistan,09/07/2020,38928341
Asia,Afghanistan,09/08/2020,38928341
Asia,Afghanistan,09/09/2020,38928341
Asia,Afghanistan,09/10/2020,38928341
Asia,Afghanistan,09/11/2020,38928341
Asia,Afghanistan,09/12/2020,38928341
Asia,Afghanistan,09/13/2020,38928341
Asia,Afghanistan,09/14/2020,38928341
Asia,Afghanistan,09/15/2020,38928341
Asia,Afghanistan,09/16/2020,38928341
Asia,Afghanistan,09/17/2020,38928341
Asia,Afghanistan,09/18/2020,38928341
Asia,Afghanistan,09/19/2020,38928341
Asia,Afghanistan,09/20/2020,38928341
Asia,Afghanistan,09/21/2020,38928341
Asia,Afghanistan,09/22/2020,38928341
Asia,Afghanistan,09/23/2020,38928341
Asia,Afghanistan,09/24/2020,38928341
Asia,Afghanistan,09/25/2020,38928341
Asia,Afghanistan,09/26/2020,38928341
Asia,Afghanistan,09/27/2020,38928341
Asia,Afghanistan,09/28/2020,38928341
Asia,Afghanistan,09/29/2020,38928341
